horizon,model,noise_level,MAE,RMSE,IA,R2
12,Model_N,0.15,47.753094,73.559975,0.6526266,-2.4258878231048584
12,Model_N,0.2,52.186447,80.87796,0.55777013,-4.501287937164307
12,Model_S,0.0,30.495476,50.187965,0.88965625,0.5249947309494019
12,Model_S,0.05,33.02803,52.37951,0.8685527,0.38805264234542847
12,Model_S,0.1,40.35259,61.363667,0.7944578,-0.0858391523361206
12,Model_S,0.15,48.540485,71.94617,0.6986326,-0.6475813388824463
12,Model_S,0.2,54.195045,78.74692,0.6381912,-0.8974707126617432
12,Model_POI,0.0,28.926832,49.473904,0.889179,0.5109169483184814
12,Model_POI,0.05,31.45585,52.33109,0.86452615,0.3270696997642517
12,Model_POI,0.1,40.474346,64.619675,0.75395846,-0.7766910791397095
12,Model_POI,0.15,49.846256,77.20246,0.6206523,-3.2464184761047363
12,Model_POI,0.2,56.600307,85.7103,0.53896236,-5.281350135803223
24,Model_D,0.0,42.48336,64.542564,0.7524391,-0.4353353977203369
24,Model_D,0.05,43.225826,65.66375,0.726768,-0.7101161479949951
24,Model_D,0.1,45.909187,69.30678,0.66456246,-1.3932037353515625
24,Model_D,0.15,48.87953,73.238304,0.6017365,-2.132671356201172
24,Model_D,0.2,51.37879,76.728294,0.54715884,-2.846548557281494
24,Model_N,0.0,39.4775,62.83832,0.7632264,-0.4015331268310547
24,Model_N,0.05,40.33049,63.968773,0.743327,-0.658656120300293
24,Model_N,0.1,43.783676,68.65476,0.6742973,-1.747663974761963
24,Model_N,0.15,48.840683,75.76974,0.581931,-4.026860237121582
24,Model_N,0.2,53.57813,82.630226,0.50869715,-7.0930070877075195
24,Model_S,0.0,42.089306,64.09062,0.7852783,-0.0390397310256958
24,Model_S,0.05,43.003582,64.848404,0.7760887,-0.09783220291137695
24,Model_S,0.1,45.67674,67.4466,0.7486361,-0.2699563503265381
24,Model_S,0.15,49.588768,71.81355,0.7070564,-0.5255988836288452
24,Model_S,0.2,53.93719,77.01195,0.65842795,-0.8388383388519287
24,Model_POI,0.0,39.448406,62.049004,0.75302553,-0.6614648103713989
24,Model_POI,0.05,40.108135,63.767975,0.72586566,-1.0382635593414307
24,Model_POI,0.1,45.635628,72.252525,0.61820006,-3.0568723678588867
24,Model_POI,0.15,52.443794,81.8368,0.51867425,-6.899752140045166
24,Model_POI,0.2,56.95599,88.4371,0.46035373,-11.447128295898438
